ProfileURL,Name/Handle,Platform,FollowerCount,Email,Tags,OutreachStatus,LastScrapedAt,Region,Language,PrimaryAITool,SampleContentURL,AIGCVerdict,DiscoveredAt,Source,Notes,FeedURL,ContactSourceURL,EvidenceJSON
https://civitai.com/user/7zack,7Zack,Civitai,,,"AIGC,Civitai,video",New,2026-08-06T06:19:00Z,,,Civitai,https://civitai.com/posts/30215107,yes,2026-08-06T06:19:00Z,Civitai API /images type=video newest,"sole_or_small: unknown; video_item_id:138880964; stats:{""cryCount"":0,""laughCount"":0,""likeCount"":2,""dislikeCount"":0,""heartCount"":0,""commentCount"":0}",,https://civitai.com/user/7Zack,"{""aigc_verdict"":{""source"":""civitai_api_type_video"",""url"":""https://civitai.com/posts/30215107"",""note"":""Civitai public REST returned SFW item with type=video; platform content is AI-generated by definition.""},""video_content"":{""source"":""civitai_api"",""url"":""https://civitai.com/posts/30215107"",""item_id"":138880964}}"
https://civitai.com/user/8864846846,8864846846,Civitai,,,"AIGC,Civitai,video",New,2026-08-06T06:19:00Z,,,Civitai,https://civitai.com/posts/30213681,yes,2026-08-06T06:19:00Z,Civitai API /images type=video newest,"sole_or_small: unknown; video_item_id:138873436; stats:{""cryCount"":2,""laughCount"":2,""likeCount"":1,""dislikeCount"":0,""heartCount"":1,""commentCount"":0}",,https://civitai.com/user/8864846846,"{""aigc_verdict"":{""source"":""civitai_api_type_video"",""url"":""https://civitai.com/posts/30213681"",""note"":""Civitai public REST returned SFW item with type=video; platform content is AI-generated by definition.""},""video_content"":{""source"":""civitai_api"",""url"":""https://civitai.com/posts/30213681"",""item_id"":138873436}}"
https://civitai.com/user/6vidit9,@6vidit9,Civitai,N/A,,"AIGC,Civitai,Video,AI video,Krea 2,video",New,2026-08-27T06:03:17Z,,English,LoRA,https://civitai.com/user/6vidit9,yes,2026-07-22T06:23:49Z,Civitai API existing-row refresh,Civitai API: models=3; tags=style,https://civitai.com/user/6vidit9/models,,"{""platform"": ""Civitai"", ""username"": ""6vidit9"", ""model_count"": 3, ""top_tags"": [""style""], ""aigc_verdict"": ""yes"", ""ai_reasoning"": ""First LoRA attempt to produce artistic photography, seeking feedback and improvement""}"
https://civitai.com/user/_keyser_soze_,@_Keyser_Soze_,Civitai,,,"AIGC,AI video,Civitai",New,2026-08-03T06:14:20Z,,,,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/e17400ac-a601-4975-8791-9df6d131490d/original=true/e17400ac-a601-4975-8791-9df6d131490d.mp4,yes,2026-07-20T06:13:47Z,sheet_refresh:civitai,routine_api_lane; has_public_sfw_video: yes; sole_or_small: unknown,,https://civitai.com/user/_Keyser_Soze_,"{""aigc_verdict"":{""source"":""civitai_api_type_video"",""url"":""https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/e17400ac-a601-4975-8791-9df6d131490d/original=true/e17400ac-a601-4975-8791-9df6d131490d.mp4"",""note"":""Civitai public video item, nsfw=false""},""video_content"":{""source"":""civitai_api"",""url"":""https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/e17400ac-a601-4975-8791-9df6d131490d/original=true/e17400ac-a601-4975-8791-9df6d131490d.mp4""}}"
https://civitai.com/user/a569575838389,@a569575838389,Civitai,,,"AIGC,Sora",New,2026-08-06T14:13:11Z,,,Sora,https://civitai.com/user/a569575838389,unsure,2026-07-30T14:17:16Z,"off-platform sweep (ddgs): ""AI video"" ""Sora"" site:civitai.com/user",routine off-platform discovery; follower_count unavailable via API in this window; AIGC not frame-reviewed,,https://civitai.com/user/a569575838389,"{""discovery"":{""source"":""ddgs"",""query"":""\""AI video\"" \""Sora\"" site:civitai.com/user"",""url"":""https://civitai.com/user/a569575838389"",""snippet"":""a569575838389 Creator Profile | Civitai — New AI video releases from time to time.""},""aigc_verdict"":{""source"":""off-platform search snippet only; no API/frame review in this routine window"",""url"":""https://civitai.com/user/a569575838389""}}"
https://civitai.com/user/ai_ojisama,@Ai_ojisama,Civitai,,,"AIGC,Sora",New,2026-08-06T14:13:11Z,,,Sora,,unsure,2026-08-06T14:13:11Z,"off-platform sweep (ddgs): ""AI video"" ""Sora"" site:civitai.com/user",routine off-platform discovery; follower_count unavailable via API in this window; AIGC not frame-reviewed,,https://civitai.com/user/Ai_ojisama/models,"{""discovery"":{""source"":""ddgs"",""query"":""\""AI video\"" \""Sora\"" site:civitai.com/user"",""url"":""https://civitai.com/user/Ai_ojisama/models"",""snippet"":""Ai_ojisama Creator Profile | Civitai — Specialized in Anime & Video Game characters, optimized for Illustrious-XL. 🎯 Precision: Expertly curated datasets for high accuracy and visual fidelity. ... I am currently accepting character requests exclusively on Patr""},""aigc_verdict"":{""source"":""off-platform search snippet only; no API/frame review in this routine window"",""url"":""https://civitai.com/user/Ai_ojisama/models""}}"
https://civitai.com/user/akochetkov758,@akochetkov758,Civitai,N/A,,"AIGC,Civitai,Video",New,2026-08-27T06:13:15Z,,English,null,https://civitai.com/user/akochetkov758,yes,2026-07-31T06:22:16Z,civitai api discovery: /images type=video nsfw=false,Civitai API: models=0; tags=,https://civitai.com/user/akochetkov758/models,,"{""platform"": ""Civitai"", ""username"": ""akochetkov758"", ""model_count"": 0, ""top_tags"": [], ""aigc_verdict"": ""yes"", ""ai_reasoning"": ""Brief quote/reason""}"
https://civitai.com/user/alexds9,@alexds9,Civitai,N/A,,"AIGC,Civitai,AI video,Illustrious,video",New,2026-08-27T06:03:52Z,,English,Stable Diffusion,https://civitai.com/user/alexds9,yes,2026-07-25T06:21:04Z,Civitai API existing-row refresh,"Civitai API: models=425; tags=style art, cute girls, toon, comic art s",https://civitai.com/user/alexds9/models,,"{""platform"": ""Civitai"", ""username"": ""alexds9"", ""model_count"": 425, ""top_tags"": [""style art"", ""cute girls"", ""toon"", ""comic art style"", ""sexy""], ""aigc_verdict"": ""yes"", ""ai_reasoning"": ""Rule-based fallback for Civitai creator""}"
https://civitai.com/user/amurisgen,@AmurisGen,Civitai,,,"AIGC,AI video,Civitai",New,2026-08-03T06:14:20Z,,,,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/5cd6658c-b8bb-4a11-bf59-9c8733ab9d03/original=true/5cd6658c-b8bb-4a11-bf59-9c8733ab9d03.mp4,yes,2026-07-20T06:13:47Z,sheet_refresh:civitai,routine_api_lane; has_public_sfw_video: yes; sole_or_small: unknown,,https://civitai.com/user/AmurisGen,"{""aigc_verdict"":{""source"":""civitai_api_type_video"",""url"":""https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/5cd6658c-b8bb-4a11-bf59-9c8733ab9d03/original=true/5cd6658c-b8bb-4a11-bf59-9c8733ab9d03.mp4"",""note"":""Civitai public video item, nsfw=false""},""video_content"":{""source"":""civitai_api"",""url"":""https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/5cd6658c-b8bb-4a11-bf59-9c8733ab9d03/original=true/5cd6658c-b8bb-4a11-bf59-9c8733ab9d03.mp4""}}"
https://civitai.com/user/andresbravo2003,@andresbravo2003,Civitai,N/A,,"AIGC,AI video,Civitai",New,2026-08-27T06:14:40Z,,English,LoRA,https://civitai.com/user/andresbravo2003,yes,2026-08-03T06:14:20Z,civitai_api_discovery:type=video,"Civitai API: models=11; tags=umbra, woman, character, lora, broadway",https://civitai.com/user/andresbravo2003/models,,"{""platform"": ""Civitai"", ""username"": ""andresbravo2003"", ""model_count"": 11, ""top_tags"": [""umbra"", ""woman"", ""character"", ""lora"", ""broadway""], ""aigc_verdict"": ""yes"", ""ai_reasoning"": ""Rule-based fallback for Civitai creator""}"
